,Discriminacao,Dificuldade,Adivinhacao
V0,1.0,0.0,0.05
V1,1.0,0.0,0.05
V2,1.0,0.0,0.051
V3,1.0,0.0,0.051
V4,1.0,0.0,0.051
V5,1.0,0.0,0.052
V6,1.0,0.0,0.052
V7,1.0,0.0,0.052
V8,1.0,0.0,0.052
V9,1.0,0.0,0.053
V10,1.0,0.0,0.053
V11,1.0,0.0,0.053
V12,1.0,0.0,0.054
V13,1.0,0.0,0.054
V14,1.0,0.0,0.054
V15,1.0,0.0,0.055
V16,1.0,0.0,0.055
V17,1.0,0.0,0.055
V18,1.0,0.0,0.055
V19,1.0,0.0,0.056
V20,1.0,0.0,0.056
V21,1.0,0.0,0.056
V22,1.0,0.0,0.057
V23,1.0,0.0,0.057
V24,1.0,0.0,0.057
V25,1.0,0.0,0.058
V26,1.0,0.0,0.058
V27,1.0,0.0,0.058
V28,1.0,0.0,0.058
V29,1.0,0.0,0.059
V30,1.0,0.0,0.059
V31,1.0,0.0,0.059
V32,1.0,0.0,0.06
V33,1.0,0.0,0.06
V34,1.0,0.0,0.06
V35,1.0,0.0,0.061
V36,1.0,0.0,0.061
V37,1.0,0.0,0.061
V38,1.0,0.0,0.061
V39,1.0,0.0,0.062
V40,1.0,0.0,0.062
V41,1.0,0.0,0.062
V42,1.0,0.0,0.063
V43,1.0,0.0,0.063
V44,1.0,0.0,0.063
V45,1.0,0.0,0.064
V46,1.0,0.0,0.064
V47,1.0,0.0,0.064
V48,1.0,0.0,0.064
V49,1.0,0.0,0.065
V50,1.0,0.0,0.065
V51,1.0,0.0,0.065
V52,1.0,0.0,0.066
V53,1.0,0.0,0.066
V54,1.0,0.0,0.066
V55,1.0,0.0,0.067
V56,1.0,0.0,0.067
V57,1.0,0.0,0.067
V58,1.0,0.0,0.067
V59,1.0,0.0,0.068
V60,1.0,0.0,0.068
V61,1.0,0.0,0.068
V62,1.0,0.0,0.069
V63,1.0,0.0,0.069
V64,1.0,0.0,0.069
V65,1.0,0.0,0.07
V66,1.0,0.0,0.07
V67,1.0,0.0,0.07
V68,1.0,0.0,0.07
V69,1.0,0.0,0.071
V70,1.0,0.0,0.071
V71,1.0,0.0,0.071
V72,1.0,0.0,0.072
V73,1.0,0.0,0.072
V74,1.0,0.0,0.072
V75,1.0,0.0,0.073
V76,1.0,0.0,0.073
V77,1.0,0.0,0.073
V78,1.0,0.0,0.073
V79,1.0,0.0,0.074
V80,1.0,0.0,0.074
V81,1.0,0.0,0.074
V82,1.0,0.0,0.075
V83,1.0,0.0,0.075
V84,1.0,0.0,0.075
V85,1.0,0.0,0.076
V86,1.0,0.0,0.076
V87,1.0,0.0,0.076
V88,1.0,0.0,0.076
V89,1.0,0.0,0.077
V90,1.0,0.0,0.077
V91,1.0,0.0,0.077
V92,1.0,0.0,0.078
V93,1.0,0.0,0.078
V94,1.0,0.0,0.078
V95,1.0,0.0,0.079
V96,1.0,0.0,0.079
V97,1.0,0.0,0.079
V98,1.0,0.0,0.079
V99,1.0,0.0,0.08
V100,1.0,0.0,0.08
V101,1.0,0.0,0.08
V102,1.0,0.0,0.081
V103,1.0,0.0,0.081
V104,1.0,0.0,0.081
V105,1.0,0.0,0.082
V106,1.0,0.0,0.082
V107,1.0,0.0,0.082
V108,1.0,0.0,0.082
V109,1.0,0.0,0.083
V110,1.0,0.0,0.083
V111,1.0,0.0,0.083
V112,1.0,0.0,0.084
V113,1.0,0.0,0.084
V114,1.0,0.0,0.084
V115,1.0,0.0,0.085
V116,1.0,0.0,0.085
V117,1.0,0.0,0.085
V118,1.0,0.0,0.085
V119,1.0,0.0,0.086
V120,1.0,0.0,0.086
V121,1.0,0.0,0.086
V122,1.0,0.0,0.087
V123,1.0,0.0,0.087
V124,1.0,0.0,0.087
V125,1.0,0.0,0.088
V126,1.0,0.0,0.088
V127,1.0,0.0,0.088
V128,1.0,0.0,0.088
V129,1.0,0.0,0.089
V130,1.0,0.0,0.089
V131,1.0,0.0,0.089
V132,1.0,0.0,0.09
V133,1.0,0.0,0.09
V134,1.0,0.0,0.09
V135,1.0,0.0,0.091
V136,1.0,0.0,0.091
V137,1.0,0.0,0.091
V138,1.0,0.0,0.091
V139,1.0,0.0,0.092
V140,1.0,0.0,0.092
V141,1.0,0.0,0.092
V142,1.0,0.0,0.093
V143,1.0,0.0,0.093
V144,1.0,0.0,0.093
V145,1.0,0.0,0.094
V146,1.0,0.0,0.094
V147,1.0,0.0,0.094
V148,1.0,0.0,0.094
V149,1.0,0.0,0.095
V150,1.0,0.0,0.095
V151,1.0,0.0,0.095
V152,1.0,0.0,0.096
V153,1.0,0.0,0.096
V154,1.0,0.0,0.096
V155,1.0,0.0,0.097
V156,1.0,0.0,0.097
V157,1.0,0.0,0.097
V158,1.0,0.0,0.097
V159,1.0,0.0,0.098
V160,1.0,0.0,0.098
V161,1.0,0.0,0.098
V162,1.0,0.0,0.099
V163,1.0,0.0,0.099
V164,1.0,0.0,0.099
V165,1.0,0.0,0.1
V166,1.0,0.0,0.1
V167,1.0,0.0,0.1
V168,1.0,0.0,0.1
V169,1.0,0.0,0.101
V170,1.0,0.0,0.101
V171,1.0,0.0,0.101
V172,1.0,0.0,0.102
V173,1.0,0.0,0.102
V174,1.0,0.0,0.102
V175,1.0,0.0,0.103
V176,1.0,0.0,0.103
V177,1.0,0.0,0.103
V178,1.0,0.0,0.103
V179,1.0,0.0,0.104
V180,1.0,0.0,0.104
V181,1.0,0.0,0.104
V182,1.0,0.0,0.105
V183,1.0,0.0,0.105
V184,1.0,0.0,0.105
V185,1.0,0.0,0.106
V186,1.0,0.0,0.106
V187,1.0,0.0,0.106
V188,1.0,0.0,0.106
V189,1.0,0.0,0.107
V190,1.0,0.0,0.107
V191,1.0,0.0,0.107
V192,1.0,0.0,0.108
V193,1.0,0.0,0.108
V194,1.0,0.0,0.108
V195,1.0,0.0,0.109
V196,1.0,0.0,0.109
V197,1.0,0.0,0.109
V198,1.0,0.0,0.109
V199,1.0,0.0,0.11
V200,1.0,0.0,0.11
V201,1.0,0.0,0.11
V202,1.0,0.0,0.111
V203,1.0,0.0,0.111
V204,1.0,0.0,0.111
V205,1.0,0.0,0.112
V206,1.0,0.0,0.112
V207,1.0,0.0,0.112
V208,1.0,0.0,0.112
V209,1.0,0.0,0.113
V210,1.0,0.0,0.113
V211,1.0,0.0,0.113
V212,1.0,0.0,0.114
V213,1.0,0.0,0.114
V214,1.0,0.0,0.114
V215,1.0,0.0,0.115
V216,1.0,0.0,0.115
V217,1.0,0.0,0.115
V218,1.0,0.0,0.115
V219,1.0,0.0,0.116
V220,1.0,0.0,0.116
V221,1.0,0.0,0.116
V222,1.0,0.0,0.117
V223,1.0,0.0,0.117
V224,1.0,0.0,0.117
V225,1.0,0.0,0.118
V226,1.0,0.0,0.118
V227,1.0,0.0,0.118
V228,1.0,0.0,0.118
V229,1.0,0.0,0.119
V230,1.0,0.0,0.119
V231,1.0,0.0,0.119
V232,1.0,0.0,0.12
V233,1.0,0.0,0.12
V234,1.0,0.0,0.12
V235,1.0,0.0,0.121
V236,1.0,0.0,0.121
V237,1.0,0.0,0.121
V238,1.0,0.0,0.121
V239,1.0,0.0,0.122
V240,1.0,0.0,0.122
V241,1.0,0.0,0.122
V242,1.0,0.0,0.123
V243,1.0,0.0,0.123
V244,1.0,0.0,0.123
V245,1.0,0.0,0.124
V246,1.0,0.0,0.124
V247,1.0,0.0,0.124
V248,1.0,0.0,0.124
V249,1.0,0.0,0.125
V250,1.0,0.0,0.125
V251,1.0,0.0,0.125
V252,1.0,0.0,0.126
V253,1.0,0.0,0.126
V254,1.0,0.0,0.126
V255,1.0,0.0,0.127
V256,1.0,0.0,0.127
V257,1.0,0.0,0.127
V258,1.0,0.0,0.127
V259,1.0,0.0,0.128
V260,1.0,0.0,0.128
V261,1.0,0.0,0.128
V262,1.0,0.0,0.129
V263,1.0,0.0,0.129
V264,1.0,0.0,0.129
V265,1.0,0.0,0.13
V266,1.0,0.0,0.13
V267,1.0,0.0,0.13
V268,1.0,0.0,0.13
V269,1.0,0.0,0.131
V270,1.0,0.0,0.131
V271,1.0,0.0,0.131
V272,1.0,0.0,0.132
V273,1.0,0.0,0.132
V274,1.0,0.0,0.132
V275,1.0,0.0,0.133
V276,1.0,0.0,0.133
V277,1.0,0.0,0.133
V278,1.0,0.0,0.133
V279,1.0,0.0,0.134
V280,1.0,0.0,0.134
V281,1.0,0.0,0.134
V282,1.0,0.0,0.135
V283,1.0,0.0,0.135
V284,1.0,0.0,0.135
V285,1.0,0.0,0.136
V286,1.0,0.0,0.136
V287,1.0,0.0,0.136
V288,1.0,0.0,0.136
V289,1.0,0.0,0.137
V290,1.0,0.0,0.137
V291,1.0,0.0,0.137
V292,1.0,0.0,0.138
V293,1.0,0.0,0.138
V294,1.0,0.0,0.138
V295,1.0,0.0,0.139
V296,1.0,0.0,0.139
V297,1.0,0.0,0.139
V298,1.0,0.0,0.139
V299,1.0,0.0,0.14
V300,1.0,0.0,0.14
V301,1.0,0.0,0.14
V302,1.0,0.0,0.141
V303,1.0,0.0,0.141
V304,1.0,0.0,0.141
V305,1.0,0.0,0.142
V306,1.0,0.0,0.142
V307,1.0,0.0,0.142
V308,1.0,0.0,0.142
V309,1.0,0.0,0.143
V310,1.0,0.0,0.143
V311,1.0,0.0,0.143
V312,1.0,0.0,0.144
V313,1.0,0.0,0.144
V314,1.0,0.0,0.144
V315,1.0,0.0,0.145
V316,1.0,0.0,0.145
V317,1.0,0.0,0.145
V318,1.0,0.0,0.145
V319,1.0,0.0,0.146
V320,1.0,0.0,0.146
V321,1.0,0.0,0.146
V322,1.0,0.0,0.147
V323,1.0,0.0,0.147
V324,1.0,0.0,0.147
V325,1.0,0.0,0.148
V326,1.0,0.0,0.148
V327,1.0,0.0,0.148
V328,1.0,0.0,0.148
V329,1.0,0.0,0.149
V330,1.0,0.0,0.149
V331,1.0,0.0,0.149
V332,1.0,0.0,0.15
V333,1.0,0.0,0.15
